Place of interest;Type of place;Place address;BiciMAD station;Station location
Instalación Deportiva  Básica Embalse de San Juan;Instalación deportiva;Calle Embalse De San Juan 1;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Alto del Retiro;Instalación deportiva;Calle Alto Del Retiro 13 C/V Calle Antonio Gades;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Avenida de Cerro Milano;Instalación deportiva;Avenida Cerro Milano 1;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Avenida de las Suertes;Instalación deportiva;Avenida Avenida De Las Suertes ;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Avenida del Ensanche de Vallecas;Instalación deportiva;Avenida Ensanche De Vallecas 11;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Avenida del Mediterráneo;Instalación deportiva;Inst. Deportiva Basica Luis Mitjans ;Valderribas;Calle Doctor Esquerdo nº 191
Instalación Deportiva Básica Camino de la Suerte;Instalación deportiva;Camino Suerte 25;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Circuito de Automodelismo;Instalación deportiva;Calle Navamures 2;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Colonia Vilda;Instalación deportiva;Calle Puentelarra 1 C/V Avda. Sta. Eugenia;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Eduardo Chillida;Instalación deportiva;Calle Eduardo Chillida 1;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Jardines de José Luis Sampedro (junto al Centro Cultural Galileo);Instalación deportiva;Jardin Jose Luis Sampedro ;Fernando el Católico;Calle Fernando el Católico nº 19
Instalación Deportiva Básica Jardines del Teniente Alcalde;Instalación deportiva;Calle Jardines Del Teniente Alcalde 49;Canal;Calle José Abascal frente al nº 2
Instalación Deportiva Básica La Unión;Instalación deportiva;Calle Enrique Garcia Alvarez 58 C/V Diego Olivera Victorio, 1;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Nuestra Señora de la Torre;Instalación deportiva;Travesia Puerto De Reinosa 2;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica P.A.R. Castrillo de Aza;Instalación deportiva;Avenida Santa Eugenia 1;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Parkour;Instalación deportiva;Avenida La Gavia 39;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Parque Real de Arganda;Instalación deportiva;Calle Real De Arganda 45;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Parque Santa Eugenia;Instalación deportiva;Calle Zazuar 12;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Parque Villa de Vallecas;Instalación deportiva;Calle Puerto De Porzuna 50;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Parque de Enrique Herreros;Instalación deportiva;Calle Bravo Murillo 49;Canal;Calle José Abascal frente al nº 2
Instalación Deportiva Básica Parque del Cementerio;Instalación deportiva;Calle Montes De Barbanza 15;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Parroquia Santa Eugenia;Instalación deportiva;"Calle Virgen De Las Vi&Amp;Ntilde;As 15";Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Peñaranda de Bracamonte;Instalación deportiva;Calle Peñaranda De Bracamonte 4;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Pista de Patinaje;Instalación deportiva;Calle Puerto De Porzuna;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Poza de la Sal;Instalación deportiva;Calle Poza De La Sal 2;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Puentelarra;Instalación deportiva;Calle Puentelarra 12;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Puerto Lumbreras;Instalación deportiva;Inst. Deportiva Basica Poza De La Sal ;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Rocódromo;Instalación deportiva;Avenida La Gavia 4 C/V Avenida Cerro Milano;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Sala Municipal de Esgrima;Instalación deportiva;Avenida Filipinas 7;Parque Santander;Calle Santander esquina con Avenida de Filipinas
Instalación Deportiva Básica Santa Eugenia;Instalación deportiva;Calle Cerro De Almodovar 11;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Skate Real de Arganda;Instalación deportiva;Calle Real De Arganda 49;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Stela Maris;Instalación deportiva;Calle Peñaranda De Bracamonte 4;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Abrantes - Colonia Velázquez;Instalación deportiva;Avenida Abrantes 297;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Alameda de Osuna I;Instalación deportiva;Calle Balandro 1;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Alas;Instalación deportiva;Calle Alas 2;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Albaicín;Instalación deportiva;Calle Albaicin 19 Orcasur;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Albaida;Instalación deportiva;Calle Albaida S/N Parque De San Blas;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Alcalde Martín de Alzaga;Instalación deportiva;Calle Alcalde Martin De Alzaga S/N;Francos Rodríguez;Calle Francos Rodríguez nº 62
Instalación Deportiva Municipal Básica Alerce;Instalación deportiva;Calle Alerce 31 Junto M-40;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Alfonso XIII;Instalación deportiva;Avenida Alfonso Xiii 136 C/V Santa María Magdalena, 2;Colombia;Calle Colombia nº 7
Instalación Deportiva Municipal Básica Alhaurín;Instalación deportiva;Calle Alhaurin 4;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Alicún;Instalación deportiva;Calle Alicun 24;Chamartín;Calle Rodríguez Jaén nº 40
Instalación Deportiva Municipal Básica Aliseda;Instalación deportiva;Calle Aliseda C/V Real Betis;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Almudena;Instalación deportiva;Calle Nicolas Salmeron 8;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Ambulatorio (El Paraiso);Instalación deportiva;Calle Ajofrin S/N;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Americio;Instalación deportiva;Calle Americio S/N;Embajadores 191;Calle Sodio nº 1B
Instalación Deportiva Municipal Básica Ana Tutor;Instalación deportiva;Avenida Cardenal Herrera Oria 216;Pedro Rico;Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica Andévalo;Instalación deportiva;Calle Andevalo 6 Aparcamiento;Concordia;Calle Arroyo del Olivar nº 6
Instalación Deportiva Municipal Básica Anfevi;Instalación deportiva;Calle Hacienda De Pavones 127 Posterior;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Aniceto Marinas;Instalación deportiva;Calle Aniceto Marinas 106;INEF;Avenida Juan de Herrera frente a la calle Paul Guinard
Instalación Deportiva Municipal Básica Antonio Machado;Instalación deportiva;Calle Antonio Machado 14 Posterior;Francos Rodríguez;Calle Francos Rodríguez nº 62
Instalación Deportiva Municipal Básica Antonio Pirala;Instalación deportiva;Calle Antonio Pirala S/N;Puente de Ventas;Avenida de Daroca nº 2
Instalación Deportiva Municipal Básica Arcaute;Instalación deportiva;Avenida Invierno 1;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Arcos de Jalón;Instalación deportiva;Calle Arcos De Jalon S/N C/V Albericia;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Arequipa;Instalación deportiva;Calle Arequipa 12;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Arganda;Instalación deportiva;Calle Arganda 10;Madrid Río-Yeserías;Paseo de Yeserías nº 45
Instalación Deportiva Municipal Básica Arjona;Instalación deportiva;Calle Concejal Francisco Jose Jimenez Martin 11;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Arriaga;Instalación deportiva;Avenida Daroca 95;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Arroyo Belincoso;Instalación deportiva;Avenida Doctor Garcia Tapia 76 C/V Calle Arroyo Belincoso;Plaza del Encuentro;Calle Arroyo de las Pilillas nº 6
Instalación Deportiva Municipal Básica Arroyo Fontarrón;Instalación deportiva;Calle Arroyo Fontarron 381;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Arroyo Media Legua;Instalación deportiva;Inst. Deportiva Basica Arroyo De La Media Legua ;Marqués de Corbera 52;Avenida Marqués de Corbera nº 52
Instalación Deportiva Municipal Básica Arroyo de Opañel;Instalación deportiva;Calle Arroyo Opañel 12;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Aster;Instalación deportiva;Avenida Aster 54 Posterior;Colombia;Calle Colombia nº 7
Instalación Deportiva Municipal Básica Auditorio de Chamartín;Instalación deportiva;Plaza Joaquin Rodrigo 1;María Francisca 1;Calle María Francisca nº 1
Instalación Deportiva Municipal Básica Auditorio de Moratalaz;Instalación deportiva;Calle Hacienda De Pavones 209;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Avenida Moratalaz M-30;Instalación deportiva;Calle Ramon Areces 1 Frente Avda. Moratalaz, 13;Camino Vinateros;Calle Camino de los Vinateros nº 28
Instalación Deportiva Municipal Básica Avenida San Luis I;Instalación deportiva;Avenida San Luis (Frente Al Nº 86);Pío XII;Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica Avenida de Burgos;Instalación deportiva;Avenida Burgos 18;Chamartín;Calle Rodríguez Jaén nº 40
Instalación Deportiva Municipal Básica Ayacucho;Instalación deportiva;Calle Nevado Del Ruiz 2;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Bacares;Instalación deportiva;Calle Bacares 9;Pío XII;Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica Bacares (fútbol);Instalación deportiva;Calle Bacares 27;Chamartín;Calle Rodríguez Jaén nº 40
Instalación Deportiva Municipal Básica Bahía de Santander II;Instalación deportiva;Calle Bahia De Santander 64;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Barceló;Instalación deportiva;Plaza Barcelo S/N;Barceló;Calle Barceló nº 7
Instalación Deportiva Municipal Básica Barrio El Querol - Spartak de Manoteras;Instalación deportiva;Calle Tijola 1;Manuel Caldeiro;Paseo de la Castellana nº 298
Instalación Deportiva Municipal Básica Barrio Goya;Instalación deportiva;Calle Sepulveda 9;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Barrio IV;Instalación deportiva;Calle Luis De Hoyos Sainz 150;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Barrio de Las Cárcavas;Instalación deportiva;Camino Montoro 4;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Barrio de Santa Ana - Andrés Navarrete;Instalación deportiva;Calle Hospitalet De Llobregat 11;Pedro Rico;Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica Barrio del Aeropuerto;Instalación deportiva;Calle Medina De Pomar 14;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
